owner,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
Malik Ibrahim,1,0,0.0,36.0,36,36,28.0,28,28,0.0,0,0,79.0,,7335,7335,7335,7335
Margaret Lind,1,0,0.0,31.0,31,31,30.0,30,30,0.0,0,0,0.0,,14458,14458,14458,14458
Mario Gosselin,73,0,0.0,24.66,8,36,25.95,6,36,0.07,5,2,77.93,,726252,9949,18380,5925
Marion Collins,4,0,0.0,16.75,14,19,17.75,10,21,0.0,0,0,110.0,,10775,2694,3250,2075
Marion Lawson,1,0,0.0,33.0,33,33,33.0,33,33,0.0,0,0,64.0,,5250,5250,5250,5250
Mark Beaver,143,0,0.0,26.94,12,36,24.41,5,36,0.07,10,3,15.44,0.0,899210,11382,18330,6175
Mark Cram,28,0,0.0,30.25,23,38,26.11,10,39,0.07,2,1,11.21,0.0,0,,,
Mark Rette,7,0,0.0,20.43,15,24,20.57,8,31,0.0,0,0,20.29,0.0,40923,13641,15607,12106
Mark Simo,120,3,0.025,13.7,1,36,15.08,1,38,4.46,535,76,120.63,,1038336,8653,46200,1450
Marshall Chesrown,110,3,0.02727,15.56,2,35,13.7,1,36,2.68,295,72,124.75,,949748,8634,48175,1425
Marty Walsh,35,0,0.0,26.83,8,36,25.51,12,36,0.0,0,0,86.46,,276465,7899,13015,4970
Mary Ward,23,0,0.0,26.7,17,35,22.48,13,34,0.0,0,0,87.52,,226145,9832,14415,4540
Mason Mitchell,1,0,0.0,18.0,18,18,16.0,16,16,0.0,0,0,28.0,,11675,11675,11675,11675
Matt Lofton,3,0,0.0,24.33,21,27,28.33,23,31,0.0,0,0,4.33,,21700,7233,8375,6425
Matt Stowe,3,0,0.0,22.33,14,36,24.0,17,32,0.0,0,0,91.0,,26740,8913,10415,6635
Matthew Miller,26,1,0.03846,14.88,2,30,13.69,1,32,0.54,14,11,7.73,0.0,0,,,
Maurice Petty,8,0,0.0,18.63,9,27,21.88,10,34,0.0,0,0,97.5,,64205,8026,11070,5265
Maury Gallagher,727,45,0.0619,11.49,1,36,13.62,1,40,7.54,5478,189,26.93,0.44,1338588,15211,51387,6550
Max Siegel,35,2,0.05714,8.74,1,35,10.94,1,30,10.89,381,168,33.06,0.43,0,,,
Michael Cohen,1,0,0.0,34.0,34,34,30.0,30,30,0.0,0,0,73.0,,5420,5420,5420,5420
Michael Gaughan,173,9,0.05202,17.3,1,36,14.91,1,36,5.34,923,112,122.3,,2540836,14687,63700,5915
Michael McSwain,1,0,0.0,29.0,29,29,19.0,19,19,0.0,0,0,106.0,,8240,8240,8240,8240
