Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Status,Led,Pts
2016,4,Kansas,Kansas Speedway,1.5,paved track,28.0,6.0,8.0,John H. Nemechek,Andy's Frozen Custard (Joe Nemechek),Chevrolet,141.0,running,0.0,5.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,29.0,23.0,66.0,Jordan Anderson,Doody Calls (Jeff Bolen),Chevrolet,82.0,crash,0.0,4.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,30.0,30.0,1.0,Ryan Ellis,CorvetteParts.net (Jennifer Jo Cobb),Chevrolet,52.0,suspension,0.0,0.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,31.0,18.0,92.0,Parker Kligerman,BTS Tire / Valvoline / Solid Rock Carriers (Ricky Benton),Ford,48.0,crash,0.0,2.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,32.0,19.0,44.0,Tommy Joe Martins,Diamond Gusset Jeans (Craig Martins),Chevrolet,26.0,suspension,0.0,1.0
2016,5,Dover,Dover International Speedway,1.0,paved track,1.0,5.0,88.0,Matt Crafton,Chi-Chi's / Menards (Duke Thorson),Toyota,200.0,running,76.0,36.0
2016,5,Dover,Dover International Speedway,1.0,paved track,2.0,6.0,51.0,Daniel Suarez,Arris (Kyle Busch),Toyota,200.0,running,0.0,0.0
2016,5,Dover,Dover International Speedway,1.0,paved track,3.0,9.0,4.0,Christopher Bell,Toyota (Kyle Busch),Toyota,200.0,running,0.0,30.0
2016,5,Dover,Dover International Speedway,1.0,paved track,4.0,15.0,21.0,Johnny Sauter,Allegiant Travel (Maury Gallagher),Chevrolet,200.0,running,0.0,29.0
2016,5,Dover,Dover International Speedway,1.0,paved track,5.0,7.0,0.0,Cole Custer,Haas Automation (JR Motorsports),Chevrolet,200.0,running,0.0,28.0
2016,5,Dover,Dover International Speedway,1.0,paved track,6.0,21.0,23.0,Spencer Gallagher,Allegiant Travel (Maury Gallagher),Chevrolet,200.0,running,0.0,27.0
2016,5,Dover,Dover International Speedway,1.0,paved track,7.0,16.0,29.0,Tyler Reddick,Cooper Standard (Brad Keselowski),Ford,200.0,running,39.0,27.0
2016,5,Dover,Dover International Speedway,1.0,paved track,8.0,18.0,81.0,Ryan Truex,Seawatch International (Shigeaki Hattori),Toyota,200.0,running,0.0,25.0
2016,5,Dover,Dover International Speedway,1.0,paved track,9.0,8.0,19.0,Daniel Hemric,Autism Delaware / Oakmont Management Group (Brad Keselowski),Ford,200.0,running,0.0,24.0
2016,5,Dover,Dover International Speedway,1.0,paved track,10.0,22.0,33.0,Kaz Grala,Allegiant Travel (Maury Gallagher),Chevrolet,200.0,running,0.0,23.0
2016,5,Dover,Dover International Speedway,1.0,paved track,11.0,1.0,9.0,William Byron,Liberty University (Kyle Busch),Toyota,200.0,running,80.0,24.0
2016,5,Dover,Dover International Speedway,1.0,paved track,12.0,3.0,11.0,Matt Tifft,Autism Delaware (Tom DeLoach),Toyota,200.0,running,0.0,21.0
2016,5,Dover,Dover International Speedway,1.0,paved track,13.0,11.0,24.0,Ben Kennedy,Jacob Companies (Maury Gallagher),Chevrolet,200.0,running,0.0,20.0
2016,5,Dover,Dover International Speedway,1.0,paved track,14.0,17.0,17.0,Timothy Peters,Red Horse Racing (Tom DeLoach),Toyota,200.0,running,0.0,19.0
2016,5,Dover,Dover International Speedway,1.0,paved track,15.0,19.0,8.0,John H. Nemechek,Cricket SX3 (Joe Nemechek),Chevrolet,200.0,running,0.0,18.0
2016,5,Dover,Dover International Speedway,1.0,paved track,16.0,14.0,49.0,Nick Drake,Haas Automation (Jay Robinson),Chevrolet,200.0,running,0.0,17.0
2016,5,Dover,Dover International Speedway,1.0,paved track,17.0,26.0,1.0,Austin Hill,Austin Hill Racing (Jennifer Jo Cobb),Ford,198.0,running,0.0,16.0
2016,5,Dover,Dover International Speedway,1.0,paved track,18.0,24.0,66.0,Jordan Anderson,Bolen Motorsports (Jeff Bolen),Chevrolet,198.0,running,0.0,15.0
2016,5,Dover,Dover International Speedway,1.0,paved track,19.0,4.0,13.0,Cameron Hayley,Cabinets by Hayley (Duke Thorson),Toyota,197.0,running,0.0,14.0
2016,5,Dover,Dover International Speedway,1.0,paved track,20.0,2.0,71.0,Brandon Jones,AAA.com (Matthew Miller),Chevrolet,196.0,running,0.0,0.0
2016,5,Dover,Dover International Speedway,1.0,paved track,21.0,27.0,2.0,Tyler Young,Randco / Young's Building Systems (Randy Young),Chevrolet,196.0,running,0.0,12.0
2016,5,Dover,Dover International Speedway,1.0,paved track,22.0,13.0,98.0,Rico Abreu,Safelite Auto Glass / Curb Records (Mike Curb),Toyota,196.0,running,0.0,11.0
2016,5,Dover,Dover International Speedway,1.0,paved track,23.0,30.0,50.0,Travis Kvapil,GasBuddy (Mark Beaver),Chevrolet,195.0,running,0.0,10.0
2016,5,Dover,Dover International Speedway,1.0,paved track,24.0,29.0,44.0,Tommy Joe Martins,Diamond Gusset Jeans (Craig Martins),Chevrolet,194.0,running,0.0,9.0
2016,5,Dover,Dover International Speedway,1.0,paved track,25.0,31.0,7.0,C.J. Faison,Meding's Seafood / Iron Source (Bobby Dotter),Chevrolet,190.0,running,0.0,8.0
2016,5,Dover,Dover International Speedway,1.0,paved track,26.0,28.0,63.0,Bobby Pierce,MB Motorsports (Mike Mittler),Chevrolet,176.0,crash,0.0,7.0
2016,5,Dover,Dover International Speedway,1.0,paved track,27.0,12.0,92.0,Parker Kligerman,BTS Tire / Valvoline / Solid Rock Carriers (Ricky Benton),Ford,136.0,rear gear,0.0,6.0
