owner,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
Bobby Labonte,36,2,0.05556,10.42,1,26,13.33,1,41,14.64,527,97,127.97,,408035,11334,43300,3475
Bobby Moon,30,0,0.0,18.97,5,44,22.17,4,38,0.0,0,0,94.07,,44873,1496,7025,500
Boggero Services,1,0,0.0,36.0,36,36,25.0,25,25,0.0,0,0,88.0,,410,410,410,410
Bojangles',2,0,0.0,37.0,34,40,33.0,32,34,0.0,0,0,64.0,,2385,1193,1460,925
Bondo,1,0,0.0,25.0,25,25,27.0,27,27,0.0,0,0,82.0,,3325,3325,3325,3325
Bonicelli Racing,1,0,0.0,24.0,24,24,38.0,38,38,0.0,0,0,49.0,,525,525,525,525
Born to Race,1,0,0.0,35.0,35,35,24.0,24,24,0.0,0,0,91.0,,2395,2395,2395,2395
Boyd Nelson,26,0,0.0,16.32,6,30,17.5,4,39,0.0,0,0,106.15,,16660,641,1800,160
Brad Akins,250,3,0.012,18.04,1,43,19.68,1,43,2.39,597,152,106.18,,4875947,19504,91720,6575
Brad Daugherty,19,1,0.05263,15.58,4,30,15.21,1,30,5.68,108,108,112.05,,38581,2031,8725,825
Brad Teague,12,0,0.0,11.08,3,28,12.17,2,28,2.83,34,34,105.08,,13680,1140,3500,375
Brandon Sperling,1,0,0.0,20.0,20,20,20.0,20,20,0.0,0,0,103.0,,3250,3250,3250,3250
Brannan's Fish,1,0,0.0,31.0,31,31,17.0,17,17,0.0,0,0,112.0,,2020,2020,2020,2020
Brent Bushu,11,0,0.0,27.36,2,42,34.0,18,43,0.0,0,0,61.0,,100085,9099,13300,6975
Brett Bodine,8,0,0.0,34.13,25,42,35.63,28,43,0.0,0,0,56.13,,77949,9744,10865,8010
Brett Favre,29,0,0.0,27.31,4,43,27.83,5,43,0.0,0,0,80.0,,319650,11022,24550,6460
Brian Baumgardner,87,0,0.0,20.46,1,43,18.01,2,43,0.62,54,13,111.26,,1699037,19529,55100,5900
Brian Donley,4,0,0.0,38.75,35,42,35.25,30,43,0.0,0,0,57.25,,15245,3811,4175,3675
Brian Ross,3,0,0.0,33.67,32,36,24.67,15,43,0.0,0,0,89.0,,13420,4473,7645,2325
Brian Weber,23,0,0.0,39.57,32,43,34.04,16,43,0.0,0,0,48.26,,269078,11699,19125,995
Brielle Pontiac,3,0,0.0,26.0,20,36,24.0,13,37,0.0,0,0,91.0,,2150,717,1090,260
Britt Racing,2,0,0.0,24.5,18,31,28.5,21,36,0.0,0,0,77.5,,2070,1035,1370,700
Broadway Motors,2,0,0.0,33.5,32,35,24.5,16,33,0.0,0,0,89.5,,1895,948,1070,825
