owner,season,owner_season_races,owner_season_wins,owner_season_top_5,owner_season_top_10,owner_season_top_20,owner_season_win_pct,owner_season_trucks_raced,owner_season_truck_win_pct,owner_season_avg_start,owner_season_avg_finish,owner_season_avg_laps_led,owner_season_laps_led
Gerald Voyles,1997,1,0,0,0,1,0.0,1,0.0,19.0,13.0,0.0,0
Greg Turnage,1997,2,0,0,0,0,0.0,2,0.0,24.5,29.0,0.0,0
Grier Lackey,1997,5,0,0,0,2,0.0,5,0.0,21.2,20.4,0.0,0
Harry Brix,1997,5,0,0,0,1,0.0,5,0.0,26.4,29.2,0.0,0
Harry Ranier,1997,3,0,0,1,2,0.0,3,0.0,18.0,14.0,0.0,0
Jack Roush,1997,26,5,17,30,45,0.19231,52,0.09615,14.13,10.79,2.87,149
James Buford,1997,1,0,0,0,1,0.0,1,0.0,5.0,18.0,0.0,0
Jerry Glanville,1997,2,0,0,0,0,0.0,2,0.0,21.0,30.5,0.0,0
Jerry Lawrence,1997,1,0,0,0,0,0.0,1,0.0,27.0,32.0,0.0,0
Jerry Wharton,1997,2,0,0,0,0,0.0,2,0.0,18.0,32.0,6.5,13
Jim Clark,1997,3,0,1,2,3,0.0,3,0.0,20.67,9.67,0.33,1
Jim Herrick,1997,26,2,7,10,19,0.07692,28,0.07143,15.29,15.36,2.61,73
Jim Smith,1997,26,1,11,18,23,0.03846,32,0.03125,11.91,12.59,21.44,686
Joe Ambrose,1997,1,0,0,0,0,0.0,1,0.0,29.0,21.0,0.0,0
Joe Gaita,1997,1,0,0,0,0,0.0,1,0.0,32.0,21.0,0.0,0
Joe Horner,1997,5,0,0,0,2,0.0,5,0.0,21.2,25.8,0.0,0
Joe Nemechek,1997,1,0,0,0,0,0.0,1,0.0,8.0,27.0,0.0,0
John Blewett,1997,2,0,0,0,0,0.0,2,0.0,20.5,31.5,0.0,0
John Nemechek,1997,3,0,0,0,1,0.0,3,0.0,17.33,25.67,0.0,0
Ken Schrader,1997,24,0,2,10,17,0.0,27,0.0,18.96,17.81,5.3,143
Kenneth Appling,1997,1,0,0,0,0,0.0,1,0.0,27.0,32.0,0.0,0
Kenny Allen,1997,19,0,0,0,7,0.0,19,0.0,27.89,22.84,0.0,0
Kevin Doran,1997,10,0,0,0,5,0.0,12,0.0,24.08,23.67,0.0,0
Kevin Grubb,1997,2,0,0,0,2,0.0,2,0.0,13.5,12.0,0.0,0
Kurt Roehrig,1997,26,1,5,11,23,0.03846,49,0.02041,14.57,19.96,5.65,277
Lou Gigliotti,1997,1,0,0,0,0,0.0,1,0.0,28.0,26.0,0.0,0
Mark Simo,1997,26,0,4,5,16,0.0,29,0.0,16.79,19.41,2.41,70
Marshall Chesrown,1997,26,0,6,17,23,0.0,26,0.0,16.04,11.0,2.42,63
Michael Waltrip,1997,3,0,0,1,1,0.0,3,0.0,13.67,24.33,0.0,0
Mike Colabucci,1997,4,0,0,1,2,0.0,4,0.0,20.0,19.75,0.0,0
Mike Farris,1997,6,0,0,0,3,0.0,6,0.0,21.83,22.67,0.0,0
Mike Mittler,1997,3,0,0,0,0,0.0,3,0.0,15.33,26.67,0.0,0
Mike Rose,1997,3,0,0,0,1,0.0,3,0.0,23.0,22.67,0.0,0
Mike Thompson,1997,1,0,0,0,0,0.0,1,0.0,23.0,37.0,0.0,0
Milan Garrett,1997,1,0,0,0,0,0.0,1,0.0,32.0,31.0,0.0,0
Milo Januska,1997,1,0,0,0,0,0.0,1,0.0,37.0,37.0,0.0,0
Petty Enterprises,1997,26,0,4,14,23,0.0,27,0.0,13.85,11.85,8.11,219
Raymond Scanlan,1997,5,0,0,0,2,0.0,5,0.0,25.8,20.8,0.0,0
Richard Childress,1997,26,1,10,15,21,0.03846,27,0.03704,19.33,12.07,2.0,54
