owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_cars_raced,owner_overall_car_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
T.C. Hunt,2,0,0.0,0,0,0,2,0.0,29.5,27.0,0,0.0
T.L. King,2,0,0.0,0,0,1,2,0.0,28.5,32.0,0,0.0
T.W. Taylor,12,0,0.0,0,0,2,12,0.0,27.0,29.0,1,0.08
TMT Racing,6,0,0.0,0,0,0,6,0.0,34.67,28.83,0,0.0
Tad Geschickter,2,0,0.0,0,0,0,2,0.0,22.0,29.0,0,0.0
Talmadge Cochrane,17,0,0.0,0,1,5,17,0.0,24.18,24.82,0,0.0
Talmadge Prince,1,0,0.0,0,0,0,1,0.0,11.0,28.0,0,0.0
Tamara Turner,2,0,0.0,0,0,0,2,0.0,43.5,37.0,0,0.0
Team Hezeberg,6,0,0.0,0,0,0,9,0.0,35.67,34.11,0,0.0
Teaugemobile,1,0,0.0,0,0,0,1,0.0,1.0,28.0,34,34.0
Ted Armstrong,1,0,0.0,0,0,0,1,0.0,14.0,35.0,0,0.0
Ted Campbell,5,0,0.0,0,0,0,5,0.0,24.8,31.8,0,0.0
Ted Cannady,15,0,0.0,0,0,9,15,0.0,23.6,21.13,0,0.0
Ted Chamberlain,60,0,0.0,0,14,42,60,0.0,21.22,17.43,0,0.0
Ted Chester,99,20,0.20202,58,81,105,126,0.15873,8.6,10.4,3134,24.87
Ted Christopher,1,0,0.0,0,0,0,1,0.0,33.0,31.0,0,0.0
Ted Fritz,1,0,0.0,0,0,0,1,0.0,29.0,33.0,0,0.0
Ted Haak,2,0,0.0,0,1,2,2,0.0,24.0,11.5,0,0.0
Ted Lee,7,0,0.0,0,0,2,7,0.0,38.0,25.0,0,0.0
Ted Sidwell,2,0,0.0,0,0,2,2,0.0,24.5,14.0,0,0.0
Ted Sweeney,3,0,0.0,0,0,3,3,0.0,16.33,16.0,0,0.0
Ted Walters / George Pywowariw,1,0,0.0,0,0,0,1,0.0,37.0,41.0,0,0.0
Terry Byers,5,0,0.0,0,0,1,5,0.0,35.8,28.2,0,0.0
Terry Fisher,1,0,0.0,0,0,0,1,0.0,36.0,38.0,0,0.0
Terry Labonte,3,0,0.0,0,0,1,3,0.0,21.0,31.0,0,0.0
Terry Marra,5,0,0.0,0,0,3,5,0.0,26.6,20.0,0,0.0
Terry Petris,4,0,0.0,0,0,0,4,0.0,29.0,30.75,0,0.0
Terry Schoonover,2,0,0.0,0,0,0,2,0.0,37.5,27.5,0,0.0
Tetsuo Fuchigami,2,0,0.0,0,0,0,2,0.0,42.0,37.5,0,0.0
Tex Keene,2,0,0.0,0,0,0,2,0.0,44.0,45.0,0,0.0
Tex Powell,7,0,0.0,0,0,0,7,0.0,31.43,29.29,0,0.0
The Racing Club,7,0,0.0,0,2,5,7,0.0,17.57,19.29,0,0.0
The Wilkes Boys,3,0,0.0,0,0,0,3,0.0,42.67,45.0,0,0.0
Thee Dixon,18,0,0.0,0,0,0,18,0.0,35.56,35.33,0,0.0
Thomas Hynes,6,0,0.0,0,0,0,6,0.0,30.33,29.67,0,0.0
Thomas Lechlider,1,0,0.0,0,0,0,1,0.0,37.0,32.0,0,0.0
Thunder Craft Express,1,0,0.0,0,0,1,1,0.0,13.0,20.0,0,0.0
Thurman Wilkes,5,0,0.0,1,2,4,5,0.0,11.4,18.0,0,0.0
Tim Beverley,61,0,0.0,1,4,23,61,0.0,31.49,22.84,59,0.97
Tim Flock,1,0,0.0,0,0,1,1,0.0,3.0,18.0,25,25.0
Tim Williamson,3,0,0.0,0,1,1,3,0.0,26.0,19.0,0,0.0
Timothy McSweeney,39,0,0.0,0,0,0,39,0.0,33.13,37.18,0,0.0
Tinker Faulkner,1,0,0.0,0,0,1,1,0.0,41.0,19.0,0,0.0
Tiny Benson,6,0,0.0,0,4,6,6,0.0,11.4,11.33,0,0.0
Tiny Lund,29,0,0.0,5,9,21,29,0.0,15.07,15.66,0,0.0
Tiny's Automotive Corner,1,0,0.0,0,0,0,1,0.0,36.0,24.0,0,0.0
Tip R. Key,1,0,0.0,0,0,0,1,0.0,35.0,40.0,0,0.0
Tire City,1,0,0.0,0,0,0,1,0.0,30.0,21.0,0,0.0
Todd Braun,8,0,0.0,0,0,0,8,0.0,35.25,39.88,0,0.0
Tom Beck,3,0,0.0,0,1,2,3,0.0,35.33,16.67,3,1.0
