driver,career_races,career_wins,career_win_pct,career_top_5,career_top_5_pct,career_top_10,career_top_10_pct,career_top_20,career_top_20_pct,career_avg_start,career_best_start,career_worst_start,career_avg_finish,career_best_finish,career_worst_finish,career_avg_laps_led,career_total_laps_led,career_most_laps_led,career_total_money,career_avg_money,career_max_race_money,career_min_race_money
A.F. Nichols,1,0,0.0,0,0.0,0,0.0,0,0.0,46.0,46,46,46.0,46,46,0.0,0,0,200,200,200,200
A.J. Allmendinger,440,3,0.00682,20,0.04545,78,0.17727,232,0.52727,20.42,1,43,20.68,1,43,1.44,635,143,30437397,115732,786563,58730
A.J. Cox,2,0,0.0,0,0.0,0,0.0,0,0.0,35.5,32,39,32.5,32,33,0.0,0,0,940,470,615,325
A.J. Foyt,129,7,0.05426,29,0.22481,36,0.27907,50,0.3876,13.35,1,41,22.26,1,43,11.77,1518,205,705184,5509,51850,150
A.J. Reno,2,0,0.0,0,0.0,0,0.0,0,0.0,46.0,44,48,33.0,21,45,0.0,0,0,2430,1215,1670,760
Ace Shearer,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,20.0,20,20,0.0,0,0,0,,,
Adam Petty,1,0,0.0,0,0.0,0,0.0,0,0.0,33.0,33,33,40.0,40,40,0.0,0,0,38675,38675,38675,38675
Al Bolinger,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,17.0,17,17,0.0,0,0,25,25,25,25
Al Bonnell,2,0,0.0,0,0.0,1,0.5,1,0.5,9.0,1,17,16.0,9,23,2.0,4,4,150,150,150,150
Al Brand,5,0,0.0,0,0.0,0,0.0,2,0.4,23.8,17,32,29.6,12,44,0.0,0,0,855,214,500,55
Al Conroy,1,0,0.0,0,0.0,0,0.0,0,0.0,32.0,32,32,36.0,36,36,0.0,0,0,150,150,150,150
Al DeAngelo,1,0,0.0,0,0.0,0,0.0,0,0.0,26.0,26,26,27.0,27,27,0.0,0,0,0,,,
Al Disney,1,0,0.0,0,0.0,0,0.0,1,1.0,14.0,14,14,13.0,13,13,0.0,0,0,125,125,125,125
Al Elmore,5,0,0.0,0,0.0,0,0.0,4,0.8,26.2,18,33,18.0,15,22,0.0,0,0,14420,2884,4785,1265
Al Fleming,1,0,0.0,0,0.0,0,0.0,0,0.0,9.0,9,9,32.0,32,32,0.0,0,0,210,210,210,210
Al Funderburk,1,0,0.0,0,0.0,1,1.0,1,1.0,26.0,26,26,10.0,10,10,0.0,0,0,50,50,50,50
Al Grinnan,1,0,0.0,0,0.0,0,0.0,1,1.0,23.0,23,23,13.0,13,13,0.0,0,0,495,495,495,495
Al Gross,3,0,0.0,1,0.33333,1,0.33333,2,0.66667,8.0,8,8,16.67,4,28,0.0,0,0,550,550,550,550
Al Hager,1,0,0.0,0,0.0,0,0.0,1,1.0,40.0,40,40,14.0,14,14,0.0,0,0,125,125,125,125
Al Holbert,19,0,0.0,0,0.0,4,0.21053,7,0.36842,15.95,8,28,24.74,7,40,0.26,5,5,45910,2416,8315,855
Al Jacobs,4,0,0.0,0,0.0,0,0.0,3,0.75,17.0,15,19,19.5,12,34,0.0,0,0,100,25,25,25
Al Keller,29,2,0.06897,7,0.24138,12,0.41379,19,0.65517,16.28,1,51,16.1,1,56,13.03,378,184,6925,301,1000,25
Al Kent,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,13.0,13,13,0.0,0,0,25,25,25,25
Al King,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,20.0,20,20,0.0,0,0,25,25,25,25
Al Loquasto,6,0,0.0,0,0.0,0,0.0,1,0.16667,28.67,21,37,26.0,16,36,0.0,0,0,16435,2739,4190,1150
Al Metz,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,11.0,11,11,0.0,0,0,25,25,25,25
Al Miller,1,0,0.0,0,0.0,0,0.0,0,0.0,58.0,58,58,40.0,40,40,0.0,0,0,0,,,
Al Neal,1,0,0.0,0,0.0,0,0.0,0,0.0,,,,55.0,55,55,0.0,0,0,0,,,
Al Neves,2,0,0.0,0,0.0,0,0.0,1,0.5,22.0,17,27,22.5,19,26,0.0,0,0,65,33,40,25
Al Pombo,3,0,0.0,0,0.0,0,0.0,2,0.66667,10.0,4,14,19.67,16,23,0.0,0,0,140,47,50,40
"Al Rudd, Jr.",1,0,0.0,0,0.0,0,0.0,0,0.0,23.0,23,23,32.0,32,32,0.0,0,0,740,740,740,740
Al Self,5,0,0.0,0,0.0,1,0.2,2,0.4,31.6,23,43,26.2,10,43,0.0,0,0,1750,350,500,100
Al Smith,1,0,0.0,0,0.0,0,0.0,0,0.0,26.0,26,26,24.0,24,24,0.0,0,0,25,25,25,25
Al Stearns,1,0,0.0,0,0.0,0,0.0,1,1.0,12.0,12,12,15.0,15,15,0.0,0,0,100,100,100,100
