Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led
1955,6,Columbia,Columbia Speedway,0.5,dirt track,16.0,10,140,Mack Hanbury,Caplan Motors (Mack Hanbury),'53 Hudson,–,25.0,running,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,17.0,15,51,Gober Sosebee,Gober Sosebee,'53 Oldsmobile,–,25.0,crash,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,18.0,9,88,Joel Million,Ernest Woods,'55 Oldsmobile,–,25.0,crash,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,19.0,17,,Billy Myers,–,'55 Plymouth,–,25.0,crash,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,20.0,22,39,Jim McLain,Jim McLain,'55 Oldsmobile,–,25.0,crash,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,21.0,16,,Glenn Blackman,–,'55 Dodge,–,,crash,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,22.0,11,5,Jimmie Lewallen,Joe Blair,'54 Mercury,–,,tire,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,1.0,3.0,78.0,Jim Paschal,Helzafire (Ernest Woods),'55 Oldsmobile,100.0,1000.0,running,52.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,2.0,2.0,87.0,Buck Baker,Griffin Motors (Bob Griffin),'54 Oldsmobile,100.0,650.0,running,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,3.0,5.0,1.0,Don White,Don White,'55 Oldsmobile,100.0,450.0,running,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,4.0,19.0,88.0,Joel Million,Ernest Woods,'55 Oldsmobile,99.0,350.0,running,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,5.0,4.0,14.0,Fonty Flock,Frank Christian,'55 Chevrolet,99.0,300.0,running,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,6.0,14.0,42.0,Lee Petty,Petty Enterprises,'55 Dodge,98.0,250.0,running,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,7.0,15.0,6.0,Ralph Liguori,Ralph Liguori,'54 Dodge,95.0,200.0,running,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,8.0,13.0,140.0,Mack Hanbury,Caplan Motors (Mack Hanbury),'53 Hudson,94.0,150.0,running,0.0
