owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_cars_raced,owner_overall_car_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Caspro Racing,1,0,0.0,0,0,0,1,0.0,33.0,21.0,0,0.0
Cathy Venturini,6,0,0.0,0,0,3,6,0.0,27.17,20.17,0,0.0
Cavin Councilor,1,0,0.0,0,0,0,1,0.0,33.0,43.0,0,0.0
Centurion Auto Transport,2,0,0.0,0,0,0,2,0.0,20.5,35.0,0,0.0
Centurion Transport,2,0,0.0,0,0,0,2,0.0,19.5,31.5,1,0.5
Chad Beahr,1,0,0.0,0,0,0,1,0.0,42.0,38.0,0,0.0
Chance2 Motorsports,83,16,0.19277,43,62,79,94,0.17021,8.54,10.07,2281,24.27
Charles Davidson,6,0,0.0,0,1,3,6,0.0,18.0,17.83,0,0.0
Charles Hardy,24,1,0.04167,6,8,14,24,0.04167,15.17,18.54,86,3.58
Charles Long,2,0,0.0,0,0,0,2,0.0,28.5,33.0,0,0.0
Charles O'Connor,9,0,0.0,0,1,6,10,0.0,24.4,19.6,16,1.6
Charles Powell,1,0,0.0,0,0,1,1,0.0,11.0,20.0,0,0.0
Charles Prince,2,0,0.0,0,0,0,2,0.0,14.5,38.5,0,0.0
Charles Shoffner,84,0,0.0,0,0,9,84,0.0,34.12,29.15,1,0.01
Charlie Henderson,293,3,0.01024,23,76,165,298,0.01007,18.32,19.9,998,3.35
Charlie Luck,97,0,0.0,4,34,76,97,0.0,17.11,14.54,5,0.05
Chinchor Electric Inc.,2,0,0.0,0,0,0,2,0.0,20.5,28.5,0,0.0
Chip Ganassi,246,20,0.0813,81,150,246,373,0.05362,13.01,16.42,3422,9.17
Chris Cockrum,5,0,0.0,0,0,0,5,0.0,32.4,30.2,0,0.0
Chris Diederich,1,0,0.0,0,0,0,1,0.0,33.0,35.0,0,0.0
Chris Hoiles,4,0,0.0,0,0,1,4,0.0,34.25,33.0,0,0.0
Chris Lencheski,41,0,0.0,0,0,5,41,0.0,29.17,28.56,2,0.05
Chris Our,151,0,0.0,8,38,141,247,0.0,20.95,20.43,87,0.35
Chris Piaet,1,0,0.0,0,0,0,1,0.0,42.0,41.0,0,0.0
Chris Rice,2,0,0.0,0,0,0,2,0.0,30.5,41.5,0,0.0
Chris Virtue,11,0,0.0,1,4,8,11,0.0,15.18,17.82,50,4.55
Chubby Arrington,19,0,0.0,1,2,9,19,0.0,22.21,19.63,0,0.0
Chuck Fridel,2,0,0.0,0,0,0,2,0.0,37.0,37.0,0,0.0
Chuck Rider,81,6,0.07407,25,36,49,81,0.07407,13.56,16.02,980,12.1
Chuck Woodruff,3,0,0.0,0,0,1,3,0.0,35.0,24.0,0,0.0
Church Construction / Curtis Company,1,0,0.0,0,0,0,1,0.0,5.0,29.0,42,42.0
City Salvage Auto Parts,1,0,0.0,0,0,0,1,0.0,14.0,37.0,0,0.0
Clarence Brewer,376,10,0.0266,64,161,384,678,0.01475,18.37,19.63,1773,2.62
Clarence Lawson,2,0,0.0,0,0,0,2,0.0,23.0,23.0,0,0.0
Clark Racing,2,0,0.0,0,0,0,2,0.0,26.5,27.0,0,0.0
Clarke,1,0,0.0,0,0,0,1,0.0,28.0,30.0,0,0.0
Clarke Racing,1,0,0.0,0,0,0,1,0.0,38.0,37.0,0,0.0
Claude Firebaugh,2,0,0.0,0,0,2,2,0.0,20.0,16.0,0,0.0
Clay Andrews,8,1,0.125,1,1,1,8,0.125,23.63,29.63,11,1.38
Clay Brown,9,0,0.0,0,0,0,9,0.0,28.22,30.33,0,0.0
Cleek Racing,1,0,0.0,0,0,0,1,0.0,31.0,40.0,0,0.0
Cliff Barcomb,1,0,0.0,0,0,1,1,0.0,36.0,17.0,0,0.0
Clint Folsom,8,0,0.0,0,1,3,8,0.0,26.13,25.13,33,4.13
Clyde Vickers,25,0,0.0,0,1,8,25,0.0,24.4,25.16,12,0.48
Coatti's,1,0,0.0,0,0,0,1,0.0,28.0,29.0,0,0.0
Coca Cola,1,0,0.0,0,0,0,1,0.0,30.0,32.0,0,0.0
Coca-Cola,7,0,0.0,1,4,5,7,0.0,14.86,13.29,0,0.0
Colbath Equipment,2,0,0.0,0,0,0,2,0.0,40.5,42.0,0,0.0
Cole Enterprises,6,0,0.0,0,3,4,6,0.0,10.0,14.17,7,1.17
Coleman Rice,4,0,0.0,0,0,0,4,0.0,30.0,32.5,0,0.0
Coleman-Adams Construction,1,0,0.0,0,0,1,1,0.0,15.0,18.0,0,0.0
Collard & Son,1,0,0.0,0,0,0,1,0.0,9.0,26.0,0,0.0
Collier,1,0,0.0,0,0,1,1,0.0,20.0,19.0,0,0.0
Collin Fern,2,0,0.0,0,0,0,2,0.0,29.0,34.0,0,0.0
Collins Engineering,3,0,0.0,0,0,1,3,0.0,20.33,24.33,0,0.0
Connie Mining Tire,1,0,0.0,0,0,1,1,0.0,9.0,11.0,0,0.0
Corning Inn,1,0,0.0,0,0,1,1,0.0,21.0,20.0,0,0.0
Corrie Stott,29,0,0.0,0,0,2,29,0.0,27.69,29.55,0,0.0
Corvette Center,1,0,0.0,0,0,1,1,0.0,20.0,11.0,0,0.0
Country Time Lemonade,1,0,0.0,0,0,0,1,0.0,20.0,25.0,0,0.0
Cox Wood Preserving,1,0,0.0,0,0,0,1,0.0,21.0,21.0,0,0.0
Coyle Racing,1,0,0.0,0,0,1,1,0.0,22.0,11.0,0,0.0
Craig Martins,11,0,0.0,0,0,1,11,0.0,32.64,32.73,0,0.0
Craig Partee,12,0,0.0,0,0,0,12,0.0,33.67,39.0,0,0.0
Crawford Racing,1,0,0.0,0,1,1,1,0.0,21.0,10.0,0,0.0
Cumberland Mills,2,0,0.0,2,2,2,2,0.0,3.5,2.0,20,10.0
Curtis Companies,1,0,0.0,0,0,0,1,0.0,8.0,37.0,64,64.0
Curtis Construction,1,0,0.0,0,0,1,1,0.0,19.0,18.0,0,0.0
Curtis Key,239,0,0.0,1,7,64,439,0.0,30.23,32.26,5,0.01
Curtis Payne,44,0,0.0,1,2,15,44,0.0,23.11,24.75,1,0.02
D & D Dismantling,10,0,0.0,0,0,3,10,0.0,24.9,24.7,0,0.0
D & D Dismantling / Kenyon,1,0,0.0,0,0,0,1,0.0,23.0,41.0,0,0.0
D & R Truck Parts,1,0,0.0,0,0,0,1,0.0,37.0,23.0,0,0.0
D.G. Robertson,8,0,0.0,1,3,4,8,0.0,21.88,18.38,0,0.0
"Dale Earnhardt, Inc.",403,41,0.10174,141,220,306,427,0.09602,13.25,14.61,7538,17.65
Dale Francis,5,0,0.0,0,0,2,5,0.0,35.0,22.0,0,0.0
Dale Jarrett,117,6,0.05128,30,46,69,118,0.05085,18.54,18.26,757,6.42
Dale Shaw,18,0,0.0,0,1,7,19,0.0,27.37,28.21,104,5.47
Dale Williams,5,0,0.0,0,0,0,5,0.0,34.0,32.8,0,0.0
Dalton Automotive,1,0,0.0,0,0,1,1,0.0,22.0,18.0,0,0.0
Dalton Racing,1,0,0.0,0,0,0,1,0.0,39.0,37.0,0,0.0
Dan Browder,30,0,0.0,0,1,12,31,0.0,26.65,25.39,41,1.32
Dan Kinney,15,0,0.0,0,0,2,15,0.0,35.67,32.4,0,0.0
Dan Lasater,53,0,0.0,0,1,18,53,0.0,23.77,23.79,0,0.0
Dan Pardus,2,0,0.0,0,0,0,2,0.0,15.5,31.5,0,0.0
Dana Patten,30,0,0.0,1,5,14,30,0.0,22.9,21.1,0,0.0
Dana Racing,2,0,0.0,0,0,0,2,0.0,9.0,34.0,0,0.0
Dana Tomes,1,0,0.0,0,0,0,1,0.0,37.0,21.0,0,0.0
Daniel Griffin,4,0,0.0,0,0,0,4,0.0,36.5,33.75,0,0.0
Daniel Welch,162,11,0.0679,38,67,106,162,0.0679,14.64,15.37,2048,12.64
Danny Bost,29,0,0.0,0,1,5,29,0.0,31.48,30.9,0,0.0
"Danny Edwards, Sr.",5,0,0.0,0,0,2,5,0.0,19.4,23.0,0,0.0
Danny MacDonald,1,0,0.0,0,0,0,1,0.0,42.0,23.0,0,0.0
Danny Weese,4,0,0.0,0,0,2,4,0.0,23.0,22.0,0,0.0
Darrell Blanton,1,0,0.0,0,0,0,1,0.0,38.0,38.0,0,0.0
Darrell Bryant,1,0,0.0,0,0,0,1,0.0,29.0,29.0,0,0.0
Darrell Holman,2,0,0.0,0,0,0,2,0.0,35.5,30.5,0,0.0
Darrell Waltrip,103,15,0.14563,45,57,67,103,0.14563,12.34,14.04,1517,14.73
Darren Dykes,1,0,0.0,0,0,0,1,0.0,29.0,25.0,0,0.0
Darwin Oordt,21,0,0.0,0,2,9,21,0.0,27.95,24.95,0,0.0
Daryl Spoerl,33,0,0.0,0,0,3,36,0.0,33.83,33.89,12,0.33
Dave Carroll,151,0,0.0,8,19,63,155,0.0,19.25,23.59,272,1.75
Dave Dion,9,0,0.0,2,2,2,9,0.0,17.78,26.56,70,7.78
Dave Lind,2,0,0.0,0,0,1,2,0.0,27.0,19.5,0,0.0
Dave Rezendes,133,0,0.0,5,21,72,133,0.0,21.55,20.62,83,0.62
Davey Allison,68,0,0.0,9,21,31,68,0.0,17.0,20.82,427,6.28
Davey Johnson,19,0,0.0,0,1,8,19,0.0,22.32,22.68,11,0.58
David & Donna Smith,2,0,0.0,0,0,2,2,0.0,25.0,14.5,0,0.0
David Carver,1,0,0.0,0,0,0,1,0.0,43.0,28.0,0,0.0
David Gregory,1,0,0.0,0,0,0,1,0.0,31.0,28.0,0,0.0
"David Lain, Sr.",1,0,0.0,0,0,0,1,0.0,31.0,26.0,0,0.0
David Pearson,154,14,0.09091,69,104,130,154,0.09091,9.15,10.07,2370,15.39
David Ridling,94,2,0.02128,7,26,53,123,0.01626,22.37,23.28,402,3.27
David Rogers,4,0,0.0,0,1,2,4,0.0,23.75,20.0,0,0.0
David Wilson,13,0,0.0,0,0,9,13,0.0,19.0,20.31,0,0.0
Davidson Racing,1,0,0.0,0,0,1,1,0.0,24.0,19.0,0,0.0
Davis Racing,7,0,0.0,0,1,4,7,0.0,20.71,17.57,0,0.0
Dayne Miller,4,0,0.0,0,0,0,4,0.0,33.25,40.75,0,0.0
Days Inn Special,8,0,0.0,0,0,2,8,0.0,31.0,25.25,0,0.0
Dean Ferri,2,0,0.0,0,0,0,2,0.0,39.5,31.5,0,0.0
Deane Voigt,2,0,0.0,0,0,0,2,0.0,42.0,35.0,0,0.0
Debbe Eunice,1,0,0.0,0,0,1,1,0.0,29.0,18.0,0,0.0
Deeth Chassis,3,0,0.0,0,0,1,3,0.0,20.67,21.0,0,0.0
Del Markle,8,0,0.0,0,0,2,8,0.0,35.0,30.0,0,0.0
Denco,1,0,0.0,0,0,0,1,0.0,29.0,22.0,0,0.0
Dennis Crowder,1,0,0.0,0,0,1,1,0.0,34.0,16.0,0,0.0
Dennis Demers,1,0,0.0,0,0,0,1,0.0,43.0,35.0,0,0.0
Dennis Gagliardi,4,0,0.0,0,0,1,4,0.0,26.5,32.5,0,0.0
