driver,career_races,career_wins,career_win_pct,career_top_5,career_top_5_pct,career_top_10,career_top_10_pct,career_top_20,career_top_20_pct,career_avg_start,career_best_start,career_worst_start,career_avg_finish,career_best_finish,career_worst_finish,career_avg_laps_led,career_total_laps_led,career_most_laps_led,career_total_money,career_avg_money,career_max_race_money,career_min_race_money
Brandon McReynolds,3,0,0.0,0,0.0,0,0.0,1,0.33333,21.33,18,25,24.67,19,32,0.0,0,0,15525,15525,15525,15525
Brandon Miller,14,0,0.0,0,0.0,2,0.14286,5,0.35714,22.0,2,39,26.14,6,43,0.0,0,0,275226,19659,29900,13595
Brandon Sperling,2,0,0.0,0,0.0,0,0.0,1,0.5,23.5,20,27,23.5,20,27,0.0,0,0,11080,5540,7830,3250
Brandon Whitt,31,0,0.0,0,0.0,0,0.0,2,0.06452,34.58,20,42,29.1,20,41,0.0,0,0,784829,25317,50158,15035
Brendan Gaughan,219,2,0.00913,20,0.09132,67,0.30594,160,0.73059,15.11,1,43,16.08,1,41,0.89,195,22,4142713,27618,72735,13475
Brennan Newberry,4,0,0.0,0,0.0,0,0.0,1,0.25,22.5,19,25,25.5,19,36,0.0,0,0,74176,18544,23370,15195
Brennan Poole,138,0,0.0,10,0.07246,38,0.27536,83,0.60145,18.71,1,38,18.4,2,38,0.24,33,13,435019,25589,32346,19678
Brent Glastetter,1,0,0.0,0,0.0,0,0.0,0,0.0,42.0,42,42,41.0,41,41,0.0,0,0,14705,14705,14705,14705
Brent Moore,2,0,0.0,0,0.0,0,0.0,0,0.0,42.0,41,43,35.0,27,43,0.0,0,0,24805,12403,14635,10170
Brent Sherman,62,0,0.0,0,0.0,1,0.01613,6,0.09677,29.56,8,42,28.55,9,43,0.06,4,1,1408304,23087,48200,12510
Brett Bodine,77,5,0.06494,31,0.4026,52,0.67532,62,0.80519,5.49,1,31,10.45,1,33,15.51,1194,161,366537,4760,25047,700
Brett Butler,3,0,0.0,0,0.0,0,0.0,0,0.0,27.67,25,32,34.33,33,36,0.0,0,0,57494,19165,21814,16345
Brett Hearn,20,0,0.0,0,0.0,1,0.05,6,0.3,24.75,8,39,24.7,10,41,0.0,0,0,23711,1186,3600,335
Brett Moffitt,117,0,0.0,3,0.02564,32,0.2735,81,0.69231,16.54,1,36,17.78,2,40,0.62,73,25,25293,25293,25293,25293
