owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_trucks_raced,owner_overall_truck_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Forgotten Coast K9,1,0,0.0,0,0,0,1,0.0,31.0,35.0,0,0.0
Frank Cioppettini,1,0,0.0,0,0,0,1,0.0,31.0,22.0,0,0.0
Fred Horn,28,0,0.0,0,0,8,28,0.0,23.96,25.46,3,0.11
Freedom Warranty,3,0,0.0,0,0,1,3,0.0,30.0,24.67,0,0.0
G.T. Tallas,2,0,0.0,0,0,0,2,0.0,29.0,28.0,0,0.0
G2G Racing,27,0,0.0,0,0,3,31,0.0,31.16,30.13,0,0.0
Gary Adrian,7,0,0.0,0,2,6,7,0.0,19.86,15.0,0,0.0
Gary Higgs,1,0,0.0,0,0,0,1,0.0,15.0,27.0,0,0.0
Gary Keller,2,0,0.0,0,0,1,2,0.0,24.5,18.5,0,0.0
Gary Miller,1,0,0.0,0,0,0,1,0.0,36.0,36.0,0,0.0
Gaunt Brothers,1,0,0.0,0,0,1,1,0.0,17.0,14.0,0,0.0
Gene Christensen,184,0,0.0,1,11,93,255,0.0,25.76,23.95,102,0.4
Gene Haas,9,1,0.11111,2,6,8,9,0.11111,8.22,10.0,150,16.67
Gene Marquardt,1,0,0.0,0,0,1,1,0.0,24.0,16.0,0,0.0
Gene Price,4,0,0.0,0,1,2,4,0.0,13.0,21.5,0,0.0
Geoffrey Bodine,67,3,0.04478,16,29,58,78,0.03846,14.88,14.63,279,3.58
George Bragg,6,0,0.0,1,1,3,6,0.0,19.17,19.0,16,2.67
George Debidart,25,0,0.0,2,10,25,49,0.0,15.88,20.31,39,0.8
George Starr,1,0,0.0,0,0,0,1,0.0,33.0,36.0,0,0.0
Gerald Voyles,1,0,0.0,0,0,1,1,0.0,19.0,13.0,0,0.0
Germain Racing,183,22,0.12022,104,157,269,357,0.06162,14.21,13.61,2364,6.62
Gina Cope,4,0,0.0,0,0,1,4,0.0,19.5,26.25,0,0.0
Greg Pollex,75,1,0.01333,7,27,56,75,0.01333,16.88,15.19,248,3.31
Greg Sarff,1,0,0.0,0,0,0,1,0.0,33.0,33.0,0,0.0
Greg Turnage,9,0,0.0,0,0,1,9,0.0,17.33,25.67,0,0.0
Grier Lackey,40,0,0.0,7,17,27,42,0.0,10.93,15.81,175,4.17
Harold Steele,13,0,0.0,0,1,7,13,0.0,22.62,19.0,45,3.46
Harry Brix,5,0,0.0,0,0,1,5,0.0,26.4,29.2,0,0.0
Harry Davis,2,0,0.0,0,0,1,2,0.0,25.5,25.0,0,0.0
Harry Johnson,7,0,0.0,0,0,2,7,0.0,29.43,24.57,0,0.0
Harry Ranier,3,0,0.0,0,1,2,3,0.0,18.0,14.0,0,0.0
Howard Bixman,2,0,0.0,0,0,0,2,0.0,26.5,27.5,0,0.0
Howard Carpenter,2,0,0.0,0,0,1,2,0.0,30.5,19.0,0,0.0
J.L. Pennington,23,0,0.0,0,0,2,23,0.0,31.74,27.74,0,0.0
JR Motorsports,38,2,0.05263,9,21,31,38,0.05263,9.05,11.82,469,12.34
Jack Green,4,0,0.0,0,0,1,4,0.0,25.5,30.75,0,0.0
Jack Roush,353,50,0.14164,204,360,545,712,0.07022,11.25,12.75,6086,8.55
Jake Crum,9,0,0.0,0,0,1,9,0.0,23.89,26.67,0,0.0
James Bailey,3,0,0.0,0,0,0,3,0.0,23.67,27.67,0,0.0
James Blankenbaker,1,0,0.0,0,0,0,1,0.0,28.0,32.0,0,0.0
James Buford,3,0,0.0,0,0,1,3,0.0,17.67,24.33,0,0.0
