owner,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
R.B. McIntosh,7,1,0.14286,11.75,5,22,15.14,1,46,27.43,192,145,,,2450,490,2000,25
R.C. Rollings,1,0,0.0,28.0,28,28,57.0,57,57,0.0,0,0,,,50,50,50,50
R.G. Henschel,2,0,0.0,19.5,13,26,20.5,13,28,0.0,0,0,,,315,158,200,115
R.G. Shelton,48,0,0.0,11.13,1,45,17.5,3,57,0.48,23,23,,,4340,94,450,20
R.H. Coleman,2,0,0.0,16.0,13,19,14.0,11,17,0.0,0,0,,,175,88,100,75
R.H. Yandell,7,0,0.0,15.0,11,19,7.14,3,10,0.0,0,0,,,2125,304,1500,50
R.L. Baird,4,0,0.0,20.75,17,26,16.5,10,24,0.0,0,0,,,280,93,130,50
R.L. Bowling,1,0,0.0,16.0,16,16,7.0,7,7,0.0,0,0,,,300,300,300,300
R.L. Combs,21,0,0.0,18.56,1,36,18.86,7,34,0.0,0,0,,,1730,91,175,25
R.L. Diestler,6,0,0.0,20.0,13,24,30.17,11,43,0.0,0,0,,,3470,578,1100,150
R.W. Douglass,1,0,0.0,37.0,37,37,24.0,24,24,0.0,0,0,,,25,25,25,25
Raeford Johnson,61,0,0.0,15.56,1,48,16.64,3,36,0.64,39,39,,,11140,195,1100,50
Rahmoc Enterprises,359,4,0.01114,17.84,1,41,17.94,1,42,4.39,1575,166,111.27,,3385074,9429,111450,420
Ralph Ball,18,0,0.0,30.78,18,40,34.44,21,41,0.0,0,0,60.81,,49120,2729,9645,985
Ralph Briggs,1,0,0.0,30.0,30,30,37.0,37,37,0.0,0,0,,,30,30,30,30
Ralph Chaney,6,0,0.0,26.25,14,34,20.0,9,31,0.0,0,0,,,225,38,100,25
Ralph Davis,3,0,0.0,34.0,23,43,28.0,25,32,0.0,0,0,,,2495,832,1115,655
Ralph Dutton,6,0,0.0,22.0,22,22,20.83,15,31,0.0,0,0,,,150,25,25,25
Ralph Dyer,6,0,0.0,12.33,9,14,11.5,6,22,0.0,0,0,,,600,100,250,25
Ralph Jones,17,0,0.0,29.88,21,40,25.06,15,37,0.0,0,0,87.82,,22485,1323,8110,315
Ralph Liguori,57,0,0.0,16.39,1,40,17.3,3,55,0.0,0,0,,,5695,124,450,25
Ralph McNabb,16,0,0.0,18.13,5,30,21.5,5,34,0.0,0,0,,,19935,1246,3525,365
Ralph Murphy,20,0,0.0,23.05,13,40,19.9,11,43,0.0,0,0,,,2640,139,555,100
Ralph Shelton,4,0,0.0,28.75,20,39,17.5,6,32,0.0,0,0,,,2675,669,1300,225
Ralph Smith,16,0,0.0,23.63,4,44,20.31,5,40,0.0,0,0,,,3040,203,500,65
Ralph Sparks,7,0,0.0,14.29,4,30,16.0,9,22,0.0,0,0,,,700,100,175,50
Ralph Stark,14,0,0.0,29.43,12,47,27.36,11,51,0.0,0,0,,,3395,243,700,50
Ramo Stott,11,0,0.0,17.45,11,25,12.45,6,33,0.18,2,2,,,13660,1242,2525,125
Randy Becker,1,0,0.0,25.0,25,25,15.0,15,15,0.0,0,0,118.0,,1950,1950,1950,1950
Randy Dodd,2,0,0.0,38.5,34,43,24.5,16,33,0.0,0,0,,,1450,725,950,500
Randy Hope,3,0,0.0,31.33,28,33,27.33,26,30,0.0,0,0,81.0,,7420,2473,2905,1965
Randy Humphrey,8,0,0.0,38.13,32,43,37.38,26,43,0.0,0,0,4.63,,569666,71208,93391,48530
Randy Porter,2,0,0.0,39.0,39,39,28.5,24,33,0.0,0,0,77.5,,12475,6238,6340,6135
Randy Tissot,6,0,0.0,29.17,14,38,23.5,15,35,1.33,8,8,,,7995,1333,1980,1000
Rat Garner,3,0,0.0,23.0,13,34,15.67,14,18,0.0,0,0,,,475,158,225,100
Ratus Walters,69,1,0.01449,16.79,2,55,22.03,1,52,1.23,85,85,,,42365,662,21730,50
Raul Cilloniz,2,0,0.0,32.5,30,35,15.0,12,18,0.0,0,0,,,550,275,500,50
Ray Boynton,2,0,0.0,32.0,21,43,32.0,22,42,0.0,0,0,,,250,125,200,50
Ray DeWitt,80,0,0.0,24.18,4,41,21.71,5,42,0.26,21,8,98.38,,1084515,13728,52750,2700
Ray Duhigg,12,0,0.0,24.33,7,46,23.17,5,55,0.0,0,0,,,600,75,300,25
Ray Elder,1,0,0.0,30.0,30,30,36.0,36,36,0.0,0,0,,,500,500,500,500
Ray Elston,1,0,0.0,27.0,27,27,27.0,27,27,0.0,0,0,,,25,25,25,25
Ray Emerson,2,0,0.0,29.0,20,38,28.0,15,41,0.0,0,0,79.0,,4040,2020,2065,1975
Ray Erickson,1,1,1.0,26.0,26,26,1.0,1,1,108.0,108,108,,,1000,1000,1000,1000
Ray Evernham,492,13,0.02642,16.12,1,42,20.44,1,43,8.11,3990,242,104.75,,52581730,106873,530164,23375
Ray Fletcher,1,0,0.0,36.0,36,36,44.0,44,44,0.0,0,0,,,60,60,60,60
Ray Fox,201,14,0.06965,8.35,1,44,15.84,1,49,24.12,4848,289,,,335485,1703,27780,50
Ray Franklin,1,0,0.0,32.0,32,32,23.0,23,23,0.0,0,0,,,60,60,60,60
Ray Frederick,22,0,0.0,19.27,9,34,18.82,7,39,0.05,1,1,121.0,,34517,1569,3500,520
Ray Hall,2,0,0.0,10.5,2,19,11.5,6,17,0.0,0,0,,,500,250,450,50
