driver,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
Everett Brashear,1,0,0.0,26.0,26,26,38.0,38,38,0.0,0,0,,,25,25,25,25
Ewell Weddle,17,0,0.0,20.73,9,28,15.88,3,34,0.0,0,0,,,1295,76,500,10
F. Weichman,1,0,0.0,,,,17.0,17,17,0.0,0,0,,,0,,,
F.L. Denney,1,0,0.0,,,,14.0,14,14,0.0,0,0,,,50,50,50,50
Fats Caruso,2,0,0.0,15.5,11,20,19.5,16,23,0.0,0,0,,,230,115,130,100
Felix Wilkes,7,0,0.0,25.25,20,38,34.43,24,51,0.0,0,0,,,45,23,35,10
Ferrel Harris,41,0,0.0,27.39,5,44,20.83,7,45,0.0,0,0,101.85,,86025,2098,11175,350
FiFi Scott,2,0,0.0,24.0,19,29,18.0,13,23,0.0,0,0,,,25,25,25,25
Fireball Roberts,207,33,0.15942,7.8,1,67,13.29,1,66,30.77,6369,380,,,296935,1507,24190,10
Floyd Curtis,3,0,0.0,31.5,27,36,21.0,10,38,0.0,0,0,,,165,55,100,25
Floyd Powell,6,0,0.0,18.17,8,29,19.83,7,41,0.0,0,0,,,1425,238,550,100
Fonty Flock,154,19,0.12338,5.43,1,43,12.15,1,58,28.64,4410,341,,,70170,512,9430,10
Fran Jischke,3,0,0.0,6.0,6,6,21.67,14,32,0.0,0,0,,,50,25,25,25
Frances Ballantine,1,0,0.0,,,,42.0,42,42,0.0,0,0,,,25,25,25,25
Francis Dionne,1,0,0.0,44.0,44,44,44.0,44,44,0.0,0,0,,,150,150,150,150
Francis Radaker,1,0,0.0,26.0,26,26,27.0,27,27,0.0,0,0,,,25,25,25,25
Frank Arford,4,0,0.0,12.5,5,20,28.5,12,57,0.0,0,0,,,100,33,50,25
Frank Boylan,2,0,0.0,,,,19.5,13,26,0.0,0,0,,,50,50,50,50
Frank Brantley,3,0,0.0,12.0,6,17,14.33,11,17,0.0,0,0,,,375,125,160,85
Frank Burnett,3,0,0.0,36.67,31,42,24.0,17,30,0.0,0,0,,,1925,642,785,500
Frank Canale,1,0,0.0,2.0,2,2,24.0,24,24,0.0,0,0,,,0,,,
Frank Carlini,1,0,0.0,,,,29.0,29,29,0.0,0,0,,,25,25,25,25
Frank Christian,1,0,0.0,,,,6.0,6,6,0.0,0,0,,,175,175,175,175
Frank Deiny,3,0,0.0,34.67,23,42,37.67,30,42,0.0,0,0,,,1500,500,800,200
Frank Douglas,1,0,0.0,19.0,19,19,15.0,15,15,0.0,0,0,,,25,25,25,25
Frank Edwards,1,0,0.0,23.0,23,23,12.0,12,12,0.0,0,0,,,100,100,100,100
Frank Gardner,1,0,0.0,21.0,21,21,44.0,44,44,0.0,0,0,,,515,515,515,515
Frank Gise,2,0,0.0,9.0,9,9,36.0,7,65,0.0,0,0,,,125,125,125,125
Frank Graham,8,0,0.0,30.25,15,44,26.13,8,44,0.0,0,0,,,2345,335,550,120
Frank Hannellburg,1,0,0.0,,,,30.0,30,30,0.0,0,0,,,0,,,
Frank Hill,1,0,0.0,39.0,39,39,37.0,37,37,0.0,0,0,,,1280,1280,1280,1280
Frank Holzhauer,1,0,0.0,,,,35.0,35,35,0.0,0,0,,,25,25,25,25
Frank James,8,0,0.0,24.88,12,40,18.63,9,26,0.0,0,0,,,8520,1065,1775,520
Frank Jamison,5,0,0.0,12.6,10,18,20.4,6,37,0.0,0,0,,,500,100,250,50
Frank Kapack,1,0,0.0,,,,19.0,19,19,0.0,0,0,,,25,25,25,25
Frank Katucka,1,0,0.0,,,,12.0,12,12,0.0,0,0,,,25,25,25,25
Frank Keller,1,0,0.0,,,,13.0,13,13,0.0,0,0,,,50,50,50,50
Frank Kimmel,7,0,0.0,36.57,29,43,35.71,26,43,0.86,6,6,51.71,,435644,62235,86787,28065
Frank Lies,1,0,0.0,27.0,27,27,34.0,34,34,0.0,0,0,,,100,100,100,100
